"X"	"Y"
-20	186.332
-19.75	165.247
-19.5	190.846
-19.25	175.617
-19	115.829
-18.75	159.447
-18.5	144.085
-18.25	114.535
-18	135.462
-17.75	173.243
-17.5	129.285
-17.25	100.842
-17	112.571
-16.75	119.879
-16.5	125.901
-16.25	80.674
-16	103.77
-15.75	74.753
-15.5	119.952
-15.25	76.224
-15	70.094
-14.75	69.474
-14.5	86.603
-14.25	60.399
-14	83.321
-13.75	32.075
-13.5	67.78
-13.25	17.779
-13	44.177
-12.75	86.384
-12.5	38.662
-12.25	15.293
-12	51.014
-11.75	45.409
-11.5	-11.328
-11.25	23.456
-11	35.841
-10.75	44.84
-10.5	43.702
-10.25	19.819
-10	7.197
-9.75	17.653
-9.5	41.354
-9.25	10.88
-9	12.688
-8.75	42.933
-8.5	24.093
-8.25	-8.593
-8	-2.449
-7.75	15.138
-7.5	-35.369
-7.25	22.86
-7	-18.906
-6.75	9.355
-6.5	-20.215
-6.25	18.724
-6	29.972
-5.75	3.73
-5.5	45.13
-5.25	-18.557
-5	-6.818
-4.75	23.504
-4.5	24.096
-4.25	19.001
-4	1.985
-3.75	37.053
-3.5	-11.945
-3.25	12.737
-3	0.202
-2.75	-14.86
-2.5	12.784
-2.25	2.56
-2	6.983
-1.75	-31.717
-1.5	-19.794
-1.25	27.324
-1	-3.52
-0.75	0.921
-0.5	-0.401
-0.25	-15.544
0	-18.608
0.25	-21.082
0.5	19.105
0.75	16.224
1	11.494
1.25	9.07
1.5	32.576
1.75	-16.44
2	25.961
2.25	19.247
2.5	27.707
2.75	6.613
3	32.958
3.25	20.213
3.5	-20.048
3.75	-53.597
4	19.141
4.25	65.811
4.5	-68.977
4.75	-9.954
5	4.301
5.25	-25.537
5.5	-18.3
5.75	-27.973
6	-14.468
6.25	-5.826
6.5	-34.341
6.75	-26.634
7	4.541
7.25	16.435
7.5	-54.951
7.75	-3.295
8	-5.181
8.25	2.209
8.5	-39.377
8.75	-40.42
9	-39.061
9.25	-6.998
9.5	-41.289
9.75	15.362
10	-46.008
10.25	-35.465
10.5	-57.545
10.75	-16.185
11	-37.132
11.25	-35.436
11.5	-51.985
11.75	-72.03
12	-36.994
12.25	-46.509
12.5	-31.725
12.75	-40.091
13	-54.058
13.25	-80.318
13.5	-120.509
13.75	-68.815
14	-81.708
14.25	-86.79
14.5	-48.588
14.75	-88.451
15	-63.33
15.25	-78.634
15.5	-105.737
15.75	-107.552
16	-94.259
16.25	-127.098
16.5	-128.622
16.75	-117.02
17	-94.143
17.25	-94.026
17.5	-147.484
17.75	-149.498
18	-154.098
18.25	-155.693
18.5	-155.067
18.75	-139.877
19	-151.492
19.25	-173.963
19.5	-198.165
19.75	-208.727
20	-231.481
